source,target,type,label,weight,description
cmna,noda,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Notre Dame de Paris
cmna,sach,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Sainte Chapelle
cmna,conc,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Conciergerie
cmna,hosu,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Hôtel de Sully
cmna,dnpr,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Domaine national du Palais-Royal
cmna,hdlm,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Hôtel de la Marine
cmna,adtr,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Arc de Triomphe
cmna,chex,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Chapelle expiatoire
cmna,cdvi,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Château de Vincennes
cmna,pant,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Panthéon
cmna,coju,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Colonne de Juillet
cmna,bcsd,direct,Fait partie des monuments gérés par le Centre des Monuments Nationaux,1,Centre des Monuments Nationaux - Basilique cathédrale Saint Denis
amis,cmna,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Centre des Monuments Nationaux
amis,louv,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Musée du Louvre
amis,loul,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Louvre-Lens
amis,cenp,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Centre Pompidou
amis,loab,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Louvre Abu-Dhabi
amis,orsa,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Musée d'Orsay
amis,oran,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Musée de l'Orangerie
amis,pamu,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Paris Musées
amis,fait,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Fondo Ambiente Italiano
amis,paum,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Jeu de Paume
amis,bran,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Musée du Quai Branly
amis,grpa,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Grand Palais
amis,fefo,direct,Fait partie des paternaires des Amis du Musée du Louvre,1,Amis Musée du Louvre - Festival de l'Histoire de l'Art de Fontainebleau
rmna,magn,direct,Fait partie de la réunion des Musées nationaux français,1,Réunion des Musées Nationaux - Musée national Magnin
rmna,bona,direct,Fait partie de la réunion des Musées nationaux français,1,Réunion des Musées Nationaux - Maison Bonaparte
rmna,ecou,direct,Fait partie de la réunion des Musées nationaux français,1,Réunion des Musées Nationaux - Musée national de la Renaissance au château d'Écouen
rmna,clun,direct,Fait partie de la réunion des Musées nationaux français,1,Réunion des Musées Nationaux - Musée de Cluny
rmna,plan,direct,Fait partie de la réunion des Musées nationaux français,1,Réunion des Musées Nationaux - Musée des Plans-Reliefs
rmna,preh,direct,Fait partie de la réunion des Musées nationaux français,1,Réunion des Musées Nationaux - Musée national de Préhistoire
rmna,mnia,direct,Fait partie de la réunion des Musées nationaux français,1,"Réunion des Musées Nationaux - Musée napoléonien et africain de l'île d'Aix, Donation Gourgaud"
rmna,mncp,direct,Fait partie de la réunion des Musées nationaux français,1,Réunion des Musées Nationaux - Musée national et domaine du château de Pau
rmna,luxe,direct,Fait partie de la réunion des Musées nationaux français,1,Réunion des Musées Nationaux - Musée de Luxembourg
rmna,malm,direct,Fait partie de la réunion des Musées nationaux français,1,Réunion des Musées Nationaux - Musée national des château de Malmaison et Bois-Préau
