id,label,rôle,Latitude,Longitude
adtr,Arc de Triomphe,Monument national,48.5225,2.1742
alip,Fondation Aliph,Fondation,,
amis,Société des Amis du Louvre,Mécène,48.8607946,2.33781565968178
apol,Fouilles archéologiques d'Apollonia du Pont,Fouilles archéologiques,,
arch,Musée d'archéologie nationale et domaine national,Musée,48.5352,2.0544
baou,Fouilles archéologiques de Baouît,Fouilles archéologiques,33,43.09
bcsd,Basilique cathédrale Saint-Denis,Monument national,48.5608,2.2135
beyr,Musée national de Beyrouth,Musée,33.5242,35.3054
bona,Maison Bonaparte,Musée,47.190963,5.383768
bran,Musée du Quai Branly,Musée,48.861511,2.29771
bybl,Fouilles archéologiques de Byblos,Fouilles archéologiques,,
capi,Musée du Capitole,Musée,41.5335,12.2858
capo,Musée Capodimonte,Musée,40.5201,14.1501
cata,Catacombles ,Musée,48.5002,2.1957
cdvi,Château de Vincennes,Monument national,48.5034,2.2609
cenp,Centre Pompidou,Musée,48.8608043227596,2.35222354063552
cerv,Fouilles archéologiques de Cerveteri,Fouilles archéologiques,42,12
chex,Chapelle expiatoire,Monument national,48.5225,2.1922
clar,Clark Art Institute,Musée,48.7078,73.2137
clun,Musée de Cluny,Musée,48.850437,2.344553
cmna,Centre des monuments nationaux,Réunion des monuments nationaux,,
coju,Colonne de Juillet ,Monument national,48.5111,2.2209
conc,Conciergerie,Monument national,48.5123,2.2044
crar,Crypte archéologique de l'île de la Cité,Musée,48.5113,2.2051
dnpr,Domaine national du Palais Royal,Monument national,48.5148,2.2013
ecou,Musée national de la Renaissance au château d'Écouen,Musée,49.0103,2.2242
fait,Fondo Ambiente Italiano,Fondation,,
fefo,Festival de l'Histoire de l'Art de Fontainebleau,Festival,,
gabi,Fouilles archéologiques de Gabies,Fouilles archéologiques,41.5313,12.4257
gait,Gallerie d'ltalia,Musée,,
grpa,Grand Palais,Musée,48.5158,2.1845
hdlm,Hôtel de la Marine,Monument national,48.52,2.1923
hosu,Hôtel de Sully,Monument national,48.5116,2.2149
khor,Fouilles archéologiques de Khorsabad,Fouilles archéologiques,30.3034,43.1346
kyoc,Musée d'Art Kyocera,Musée,,
Loab,Louvre Abu Dhabi,Musée,24.3158,54.24
loul,Louvre Lens,Musée,50.255,2.4812
louv,Musée du Louvre,Musée,48.8607946,2.33781565968178
luxe,Musée du Luxembourg,Musée,48.5055,2.20025
magn,Musée national Magnin,Musée,47.1915,5.0232
malm,Musée national des château de Malmaison et Bois-Préau,Musée,48.5215,2.1001
mamp,Musée d'Art Moderne de la ville de Paris,Musée,48.8646032209588,2.298432342
mbou,Musée Bourdelle,Musée,48.843017,2.31883
mcar,Musée Carnavalet,Musée,48.85699,2.362856
mcer,Musée Cernuschi,Musée,48.879693,2.312194
mcog,Musée Cognacq-Jay,Musée,48.858257,2.361524
mdba,Maison de Balzac,Musée,48.855398,2.280805
mlhl,Musée du général Leclerc de Hauteclocque et de la Libération de Paris - Musée Jean Moulin,Musée,48.840614,2.319773
mncl,Musée national Clémenceau - de Lattre,Musée,46.4031,0.5058
mncp,Musée national et domaine du château de Pau,Musée,43.1741,0.223
mnfg,Musée national Fernand Léger,Musée,43.372,7.0646
mnia,Musée napoléonien et africain de l'île d'Aix. Donation Gourgaud,Musée,46.0044,1.103
mnmc,Musée national Marc Chagall ,Musée,43.4233,7.161
mnpp,Musée national Pablo Picasso ,Musée,43.345,7.0742
moss,Musée de Mossoul,Musée,36.2026,43.0823
mvhu,Maison de Victor Hugo,Musée,48.854808,2.366232
mvro,Musée de la Vie romantique,Musée,48.880899,2.333278
mzad,Musée Zadkine,Musée,48.842793,2.333457
nara,Náradni galerie,Musée,50.0517,14.2518
noda,Notre-Dame de Paris,Monument national,48.5111,2.21
oran,Musée de l'Orangerie,Musée,48.868053,2.326622
orsa,Musée d'Orsay,Musée,48.859157,2.323672
pamu,Paris Musées,Réunion des Musées municipaux de la ville de Paris,,
pant,Panthéon,Monument national,48.5046,2.2045
paum,Jeu de Paume,Musée,48.5157,2.1926
payk,Fouille archéologique de Paykend ,Fouilles archéologiques,35.13,42
pgal,Palais Galliera,Musée,48.8661368054634,2.29724849962577
plan,Musée des Plans-Reliefs,Musée,48.858219,2.312885
port,Musée national de Port-Royal des Champs,Musée,48.4439,2.0058
ppal,Petit Palais,Musée,48.86609,2.313763
preh,Musée national de Préhistoire,Musée,44.5609,1.0048
rmna,Musées nationaux,Réunion des Musées nationaux,,
sach,Sainte-Chapelle,Monument national,48.5119,2.2042
toky,National Art Center Tokyo,Musée,35.3955,139.4335
