musee,lat,lon
musée de la chasse et de la nature,48.861491,2.358608
musée d'art et d'histoire du judaïsme,48.86095,2.355608
musée de l'institut du monde arabe,48.843955,2.352176
Palais Galliera. musée de la mode et de la ville de Paris,48.8661368054634,2.29724849962577
musée de l'Ecole nationale supérieure des beaux-arts,48.845748,2.33167
musée du Quai Branly - Jacques Chirac,48.861511,2.29771
musée Bourdelle,48.843017,2.31883
musée Eugène Delacroix,48.854434,2.335679
musée Hébert,48.847429,2.322709
musée de l'Orangerie des Tuileries,48.868053,2.326622
musée Jean-Jacques Henner,48.883045,2.307689
musée Gustave Moreau,48.877878,2.334383
musée des monuments français,48.862323,2.281879
musée Picasso,48.8597,2.362644
musée national de l'histoire et des cultures de l'immigration,48.836753,2.390394
musée de l'homme (muséum national d'histoire naturelle),48.862548,2.28222
musée d'art moderne de la ville de Paris,48.8646032209588,2.29843234195393
musée Carnavalet - histoire de Paris,48.85699,2.362856
musée Cernuschi. musée des arts de l'Asie de la ville de Paris,48.879693,2.312194
musée Cognacq-Jay. musée du XVIIIe siècle de la ville de Paris,48.858257,2.361524
musée de la vie romantique,48.880899,2.333278
musée Yves Saint Laurent Paris,48.873694,2.280339
musée des arts asiatiques Guimet,48.86425,2.293754
musée du Louvre,48.8607945980691,2.33781565968178
musée national de la Légion d'honneur et des ordres de chevalerie,48.860294,2.324768
musée des Plans-reliefs,48.858219,2.312885
musée de Montmartre,48.887709,2.340577
maison de Balzac,48.855398,2.280805
musée de la Libération de Paris - musée du général Leclerc - musée Jean Moulin,48.840614,2.319773
musée de l'armée,48.858219,2.312885
musée national de la marine,48.86425,2.293754
musée d'Orsay,48.859157,2.323672
musée des arts et métiers,48.865357,2.357046
musée des monnaies et médailles,48.857003,2.338699
Petit Palais. musée des beaux-arts de la ville de Paris,48.86609,2.313763
maison de Victor Hugo,48.854808,2.366232
musée Zadkine,48.842793,2.333457
musée du Moyen Âge - thermes et hôtel de Cluny,48.850437,2.344553
musée des arts décoratifs (Union centrale des arts décoratifs),48.863218,2.3333
musée Rodin,48.855868,2.31598
musée national d'art moderne (centre national d'art et de culture Georges Pompidou),48.8608043227596,2.35222354063552
